school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,BRASS SYMPHONIA
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE-VERSITY
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA CLUB
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INFOCOMM CLUB
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,RSVP CLUB
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,NETBALL
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,RED CROSS YOUTH
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,ANGKLUNG / KULINTANG ENSEMBLE
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,INDIAN DANCE
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,STRATEGY GAMES,Mass Brain Activities (MBA) Club
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON (BOYS)
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,HOCKEY,HOCKEY (BOYS)
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL (GIRLS)
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FLOORBALL,FLOORBALL (GIRLS)
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,MEDIA RESOURCE CLUB,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTAL CLUB
CANBERRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
CANBERRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL
CANBERRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL
CANBERRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD
CANBERRA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,SCOUTS
CANBERRA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),GIRL GUIDES (BROWNIES)
CANBERRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR
CANBERRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE
CANBERRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,INDIAN DANCE
CANBERRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE
CANBERRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND
CANBERRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART AND CRAFTS
CANBERRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ENGLISH LANGUAGE AND DRAMA
CANBERRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,DIGITAL ARTISANS
CANBERRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,LIBRARY AMBASSADORS
CANBERRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FLOORBALL,FLOORBALL
CANBERRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),MEDIA CLUB
CANBERRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,HOME ECONOMICS,LITTLE CHEFS
CANBERRA SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
CANBERRA SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL
CANBERRA SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
CANBERRA SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
CANBERRA SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
CANBERRA SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (SEA),na
CANBERRA SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na
CANBERRA SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
CANBERRA SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
CANBERRA SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE
CANBERRA SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na
CANBERRA SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,NEW MEDIA ARTS,DIGITAL MEDIA IN VISUAL ARTS (DMA)
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TAEKWONDO,TAEKWONDO
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),MODULAR CCA (SPORTS)
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,SCOUTS
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART AND CRAFTS
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM TECHNOLOGY
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL BOYS
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,HOCKEY,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SOFTBALL,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
CANTONMENT PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM/ROBOTICS CLUB
CANTONMENT PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,PHYSICAL SCIENCE,SCIENCE CLUB
CASUARINA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTAL SCIENCE
CASUARINA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,Badminton
CASUARINA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,RUGBY,CONTACT RUGBY
CASUARINA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
CASUARINA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
CASUARINA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FLOORBALL,na
CASUARINA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
CASUARINA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na
CASUARINA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
CASUARINA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
CASUARINA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
CASUARINA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na
CASUARINA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
CASUARINA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM TECHNOLOGY
CASUARINA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CATHOLIC HIGH SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL
CATHOLIC HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL
CATHOLIC HIGH SCHOOL,PRIMARY,PHYSICAL SPORTS,SOFTBALL,SOFTBALL
CATHOLIC HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,SOFTBALL,SOFTBALL
CATHOLIC HIGH SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,TABLE TENNIS
CATHOLIC HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,TABLE TENNIS
CATHOLIC HIGH SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU
CATHOLIC HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,WUSHU,WUSHU
CATHOLIC HIGH SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL
CATHOLIC HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL
CATHOLIC HIGH SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),na
CATHOLIC HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),na
CATHOLIC HIGH SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,Scouts
CATHOLIC HIGH SCHOOL,SECONDARY,UNIFORMED GROUPS,SCOUTS,SCOUTS
CATHOLIC HIGH SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,ORCHESTRA - CHINESE
CATHOLIC HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,ORCHESTRA - CHINESE
CATHOLIC HIGH SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,EDWARD BECHERAS CHOIR
CATHOLIC HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,EDWARD BECHERAS CHOIR
CATHOLIC HIGH SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,Modern Dance
CATHOLIC HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE - MODERN
CATHOLIC HIGH SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,Band - Concert
CATHOLIC HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONY BAND
CATHOLIC HIGH SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),ION (INFOCOMM & ROBOTICS)
CATHOLIC HIGH SCHOOL,SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),ION
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,ULTIMATE
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CONCERT BAND,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,PUBLICATION,EDITORIAL
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ENTREPRENEURSHIP,NEXUS INVESTMENT & ENTREPRUNEURSHIP SOCIETY
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),"FILM, SOUND AND VIDEO SOCIETY"
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE,INTERACT CLUB
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STRATEGY GAMES,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,OTHERS,STUDENT LEADERSHIP (HOUSE),na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SHOOTING,SHOOTING
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CANOEING,CANOEING
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CROSS COUNTRY,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FENCING,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,JUDO,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,RUGBY,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SWIMMING,SWIMMING
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK AND FIELD,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BOWLING,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,ORATORICAL SOCIETY
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE (FIRST AID),FIRST AID CLUB
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,STUDENT COUNCIL
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AV & PHOTOGRAPHY CLUB
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,"INDIAN LANGUAGE, DRAMA AND DEBATING",INDIAN CULTURAL SOCIETY
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INFOCOMM CLUB
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,"MALAY LANGUAGE, DRAMA AND DEBATING",MALAY CULTURAL SOCIETY
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONIC BAND
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ELDDS (DEBATE & ADVOCACY)
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,"CHINESE LANGUAGE, DRAMA AND DEBATING",CHINESE CULTURAL SOCIETY
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTAL CLUB
CEDAR PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,ADVENTURE CLUB
CEDAR PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB
CEDAR PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CEDAR PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,FUTURE INNOVATORS' PROGRAMME
CEDAR PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,COMMUNITY SERVICE,KINDNESS CLUB
CEDAR PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
CEDAR PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SOFTBALL,na
CEDAR PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
CEDAR PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
CEDAR PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
CEDAR PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,ANGKLUNG/KULINTANG ENSEMBLE
CEDAR PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,BRASS BAND
CEDAR PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART AND CRAFTS
CEDAR PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING","ENGLISH LANGUAGE, DRAMA & DEBATING"
CEDAR PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,ROBOTICS
CEDAR PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION)
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE INSTRUMENTAL ENSEMBLE,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,SEPAKTAKRAW,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,THE BOYS' BRIGADE
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),NCC(AIR)
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
CHANGKAT PRIMARY SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na
CHANGKAT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),MULTI-SPORTS
CHANGKAT PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE
CHANGKAT PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
CHANGKAT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL
CHANGKAT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD
CHANGKAT PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU
CHANGKAT PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR
